id,region,category,parameter,mode,powertrain,year,unit,value
185,France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700
186,France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
187,France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000
188,France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000
189,France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300
190,France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000
191,France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500
192,France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
193,France,Historical,EV charging points,EV,Publicly available fast,2022,charging points,9700
194,France,Historical,EV charging points,EV,Publicly available slow,2022,charging points,74000
195,Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18
196,Germany,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1500
197,Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
198,Germany,Historical,EV charging points,EV,Publicly available slow,2013,charging points,2400
199,Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
200,Germany,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
201,Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470
202,Germany,Historical,EV charging points,EV,Publicly available slow,2015,charging points,4600
203,Germany,Historical,EV charging points,EV,Publicly available fast,2016,charging points,630
204,Germany,Historical,EV charging points,EV,Publicly available slow,2016,charging points,5800
205,Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1400
206,Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,9400
207,Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2500
208,Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,17000
209,Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,3900
210,Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,26000
211,Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,6200
212,Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
213,Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9300
214,Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
215,Germany,Historical,EV charging points,EV,Publicly available fast,2022,charging points,13000
216,Germany,Historical,EV charging points,EV,Publicly available slow,2022,charging points,64000
217,Greece,Historical,EV charging points,EV,Publicly available slow,2013,charging points,10
218,Greece,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2
219,Greece,Historical,EV charging points,EV,Publicly available slow,2014,charging points,14
220,Greece,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2
221,Greece,Historical,EV charging points,EV,Publicly available slow,2015,charging points,14
222,Greece,Historical,EV charging points,EV,Publicly available fast,2016,charging points,2
223,Greece,Historical,EV charging points,EV,Publicly available slow,2016,charging points,15
224,Greece,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2
225,Greece,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22
226,Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,10
227,Greece,Historical,EV charging points,EV,Publicly available slow,2018,charging points,31
228,Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,10
229,Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,63
230,Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,14
231,Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,220
232,Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,100
233,Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200
234,Greece,Historical,EV charging points,EV,Publicly available fast,2022,charging points,190
235,Greece,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2800
236,Iceland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,6
237,Iceland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,11
238,Iceland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,11
239,Iceland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,40
240,Iceland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11
241,Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36
242,Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32
243,Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55
244,Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40
245,Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,150
246,Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
247,Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190
248,Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,290
249,Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
250,Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560
251,Iceland,Historical,EV charging points,EV,Publicly available fast,2022,charging points,180
252,Iceland,Historical,EV charging points,EV,Publicly available slow,2022,charging points,850
253,India,Historical,EV charging points,EV,Publicly available fast,2016,charging points,25
254,India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25
255,India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,220
256,India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25
257,India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,330
258,India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25
259,India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,330
260,India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25
261,India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,330
262,India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32
263,India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,910
264,India,Historical,EV charging points,EV,Publicly available fast,2022,charging points,4100
265,India,Historical,EV charging points,EV,Publicly available slow,2022,charging points,6800
266,Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,51
267,Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,50
268,Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,130
269,Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,54
270,Indonesia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,130
271,Indonesia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,580
272,Israel,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0
273,Israel,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0
274,Israel,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0
275,Israel,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0
276,Israel,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0
277,Israel,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0
278,Israel,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0
279,Israel,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0
280,Israel,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0
281,Israel,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0
282,Israel,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0
283,Israel,Historical,EV charging points,EV,Publicly available fast,2021,charging points,0
284,Israel,Historical,EV charging points,EV,Publicly available fast,2022,charging points,270
285,Israel,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2500
286,Italy,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1
287,Italy,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1400
288,Italy,Historical,EV charging points,EV,Publicly available fast,2013,charging points,6
289,Italy,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1400
290,Italy,Historical,EV charging points,EV,Publicly available fast,2014,charging points,10
291,Italy,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1400
292,Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70
