country_id,region,category,parameter,mode,powertrain,year,unit,value
178,Denmark,Historical,EV sales,Cars,BEV,2015,Vehicles,4300
179,Denmark,Historical,EV sales,Cars,BEV,2016,Vehicles,1300
180,Denmark,Historical,EV stock,Cars,BEV,2016,Vehicles,8700
181,Denmark,Historical,EV stock,Cars,BEV,2017,Vehicles,8800
182,Denmark,Historical,EV sales,Cars,BEV,2017,Vehicles,710
183,Denmark,Historical,EV sales,Cars,BEV,2018,Vehicles,1500
184,Denmark,Historical,EV stock,Cars,BEV,2018,Vehicles,10000
185,Denmark,Historical,EV stock,Cars,BEV,2019,Vehicles,16000
186,Denmark,Historical,EV sales,Cars,BEV,2019,Vehicles,5500
187,Denmark,Historical,EV sales,Cars,BEV,2020,Vehicles,14000
188,Denmark,Historical,EV stock,Cars,BEV,2020,Vehicles,32000
189,Denmark,Historical,EV stock,Cars,BEV,2021,Vehicles,67000
190,Denmark,Historical,EV sales,Cars,BEV,2021,Vehicles,25000
191,Denmark,Historical,EV sales,Cars,BEV,2022,Vehicles,31000
192,Denmark,Historical,EV stock,Cars,BEV,2022,Vehicles,110000
193,EU27,Historical,EV sales,Cars,BEV,2010,Vehicles,1400
194,EU27,Historical,EV stock,Cars,BEV,2010,Vehicles,2800
195,EU27,Historical,EV stock,Cars,BEV,2011,Vehicles,10000
196,EU27,Historical,EV sales,Cars,BEV,2011,Vehicles,6700
197,EU27,Historical,EV sales,Cars,BEV,2012,Vehicles,12000
198,EU27,Historical,EV stock,Cars,BEV,2012,Vehicles,23000
199,EU27,Historical,EV stock,Cars,BEV,2013,Vehicles,44000
200,EU27,Historical,EV sales,Cars,BEV,2013,Vehicles,21000
201,EU27,Historical,EV sales,Cars,BEV,2014,Vehicles,32000
202,EU27,Historical,EV stock,Cars,BEV,2014,Vehicles,75000
203,EU27,Historical,EV stock,Cars,BEV,2015,Vehicles,120000
204,EU27,Historical,EV sales,Cars,BEV,2015,Vehicles,49000
205,EU27,Historical,EV sales,Cars,BEV,2016,Vehicles,53000
206,EU27,Historical,EV stock,Cars,BEV,2016,Vehicles,180000
207,EU27,Historical,EV stock,Cars,BEV,2017,Vehicles,250000
208,EU27,Historical,EV sales,Cars,BEV,2017,Vehicles,84000
209,EU27,Historical,EV sales,Cars,BEV,2018,Vehicles,130000
210,EU27,Historical,EV stock,Cars,BEV,2018,Vehicles,380000
211,EU27,Historical,EV stock,Cars,BEV,2019,Vehicles,610000
212,EU27,Historical,EV sales,Cars,BEV,2019,Vehicles,250000
213,EU27,Historical,EV sales,Cars,BEV,2020,Vehicles,540000
214,EU27,Historical,EV stock,Cars,BEV,2020,Vehicles,1200000
215,EU27,Historical,EV stock,Cars,BEV,2021,Vehicles,2000000
216,EU27,Historical,EV sales,Cars,BEV,2021,Vehicles,880000
217,EU27,Historical,EV sales,Cars,BEV,2022,Vehicles,1100000
218,EU27,Historical,EV stock,Cars,BEV,2022,Vehicles,3100000
219,Europe,Historical,EV stock,Cars,BEV,2010,Vehicles,7100
220,Europe,Historical,EV sales,Cars,BEV,2010,Vehicles,2000
221,Europe,Historical,EV sales,Cars,BEV,2011,Vehicles,10000
222,Europe,Historical,EV stock,Cars,BEV,2011,Vehicles,17000
223,Europe,Historical,EV stock,Cars,BEV,2012,Vehicles,37000
224,Europe,Historical,EV sales,Cars,BEV,2012,Vehicles,18000
225,Europe,Historical,EV sales,Cars,BEV,2013,Vehicles,33000
226,Europe,Historical,EV stock,Cars,BEV,2013,Vehicles,68000
227,Europe,Historical,EV stock,Cars,BEV,2014,Vehicles,130000
228,Europe,Historical,EV sales,Cars,BEV,2014,Vehicles,62000
229,Europe,Historical,EV sales,Cars,BEV,2015,Vehicles,88000
230,Europe,Historical,EV stock,Cars,BEV,2015,Vehicles,210000
231,Europe,Historical,EV stock,Cars,BEV,2016,Vehicles,300000
232,Europe,Historical,EV sales,Cars,BEV,2016,Vehicles,92000
233,Europe,Historical,EV sales,Cars,BEV,2017,Vehicles,140000
234,Europe,Historical,EV stock,Cars,BEV,2017,Vehicles,430000
235,Europe,Historical,EV stock,Cars,BEV,2018,Vehicles,630000
236,Europe,Historical,EV sales,Cars,BEV,2018,Vehicles,200000
237,Europe,Historical,EV sales,Cars,BEV,2019,Vehicles,360000
238,Europe,Historical,EV stock,Cars,BEV,2019,Vehicles,970000
239,Europe,Historical,EV stock,Cars,BEV,2020,Vehicles,1800000
240,Europe,Historical,EV sales,Cars,BEV,2020,Vehicles,750000
241,Europe,Historical,EV sales,Cars,BEV,2021,Vehicles,1200000
242,Europe,Historical,EV stock,Cars,BEV,2021,Vehicles,3000000
243,Europe,Historical,EV stock,Cars,BEV,2022,Vehicles,4400000
244,Europe,Historical,EV sales,Cars,BEV,2022,Vehicles,1600000
245,Finland,Historical,EV sales,Cars,BEV,2011,Vehicles,30
246,Finland,Historical,EV stock,Cars,BEV,2011,Vehicles,56
247,Finland,Historical,EV stock,Cars,BEV,2012,Vehicles,110
248,Finland,Historical,EV sales,Cars,BEV,2012,Vehicles,51
249,Finland,Historical,EV sales,Cars,BEV,2013,Vehicles,50
250,Finland,Historical,EV stock,Cars,BEV,2013,Vehicles,170
251,Finland,Historical,EV stock,Cars,BEV,2014,Vehicles,360
252,Finland,Historical,EV sales,Cars,BEV,2014,Vehicles,180
253,Finland,Historical,EV sales,Cars,BEV,2015,Vehicles,240
254,Finland,Historical,EV stock,Cars,BEV,2015,Vehicles,610
255,Finland,Historical,EV stock,Cars,BEV,2016,Vehicles,840
256,Finland,Historical,EV sales,Cars,BEV,2016,Vehicles,220
257,Finland,Historical,EV sales,Cars,BEV,2017,Vehicles,500
258,Finland,Historical,EV stock,Cars,BEV,2017,Vehicles,1400
259,Finland,Historical,EV stock,Cars,BEV,2018,Vehicles,2400
260,Finland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
261,Finland,Historical,EV sales,Cars,BEV,2019,Vehicles,1900
262,Finland,Historical,EV stock,Cars,BEV,2019,Vehicles,4700
263,Finland,Historical,EV stock,Cars,BEV,2020,Vehicles,9700
264,Finland,Historical,EV sales,Cars,BEV,2020,Vehicles,4200
265,Finland,Historical,EV sales,Cars,BEV,2021,Vehicles,10000
266,Finland,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
267,Finland,Historical,EV stock,Cars,BEV,2022,Vehicles,45000
268,Finland,Historical,EV sales,Cars,BEV,2022,Vehicles,15000
269,France,Historical,EV sales,Cars,BEV,2010,Vehicles,190
270,France,Historical,EV stock,Cars,BEV,2010,Vehicles,300
271,France,Historical,EV stock,Cars,BEV,2011,Vehicles,2900
272,France,Historical,EV sales,Cars,BEV,2011,Vehicles,2600
273,France,Historical,EV sales,Cars,BEV,2012,Vehicles,5700
274,France,Historical,EV stock,Cars,BEV,2012,Vehicles,8600
275,France,Historical,EV stock,Cars,BEV,2013,Vehicles,17000
276,France,Historical,EV sales,Cars,BEV,2013,Vehicles,8800
277,France,Historical,EV sales,Cars,BEV,2014,Vehicles,11000
278,France,Historical,EV stock,Cars,BEV,2014,Vehicles,28000
279,France,Historical,EV stock,Cars,BEV,2015,Vehicles,45000
280,France,Historical,EV sales,Cars,BEV,2015,Vehicles,17000
281,France,Historical,EV sales,Cars,BEV,2016,Vehicles,22000
282,France,Historical,EV stock,Cars,BEV,2016,Vehicles,67000
283,France,Historical,EV stock,Cars,BEV,2017,Vehicles,93000
284,France,Historical,EV sales,Cars,BEV,2017,Vehicles,25000
285,France,Historical,EV sales,Cars,BEV,2018,Vehicles,31000
286,France,Historical,EV stock,Cars,BEV,2018,Vehicles,120000
287,France,Historical,EV stock,Cars,BEV,2019,Vehicles,170000
288,France,Historical,EV sales,Cars,BEV,2019,Vehicles,43000
289,France,Historical,EV sales,Cars,BEV,2020,Vehicles,110000
290,France,Historical,EV stock,Cars,BEV,2020,Vehicles,280000
291,France,Historical,EV stock,Cars,BEV,2021,Vehicles,440000
292,France,Historical,EV sales,Cars,BEV,2021,Vehicles,160000
293,France,Historical,EV sales,Cars,BEV,2022,Vehicles,210000
294,France,Historical,EV stock,Cars,BEV,2022,Vehicles,620000
295,Germany,Historical,EV sales,Cars,BEV,2010,Vehicles,140
296,Germany,Historical,EV stock,Cars,BEV,2010,Vehicles,250
297,Germany,Historical,EV stock,Cars,BEV,2011,Vehicles,1600
298,Germany,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
299,Germany,Historical,EV sales,Cars,BEV,2012,Vehicles,2200
300,Germany,Historical,EV stock,Cars,BEV,2012,Vehicles,3900
301,Germany,Historical,EV stock,Cars,BEV,2013,Vehicles,9200
302,Germany,Historical,EV sales,Cars,BEV,2013,Vehicles,5200
303,Germany,Historical,EV sales,Cars,BEV,2014,Vehicles,9100
304,Germany,Historical,EV stock,Cars,BEV,2014,Vehicles,18000
305,Germany,Historical,EV stock,Cars,BEV,2015,Vehicles,30000
306,Germany,Historical,EV sales,Cars,BEV,2015,Vehicles,12000
307,Germany,Historical,EV sales,Cars,BEV,2016,Vehicles,11000
308,Germany,Historical,EV stock,Cars,BEV,2016,Vehicles,41000
309,Germany,Historical,EV stock,Cars,BEV,2017,Vehicles,59000
310,Germany,Historical,EV sales,Cars,BEV,2017,Vehicles,25000
311,Germany,Historical,EV sales,Cars,BEV,2018,Vehicles,36000
312,Germany,Historical,EV stock,Cars,BEV,2018,Vehicles,95000
313,Germany,Historical,EV stock,Cars,BEV,2019,Vehicles,140000
314,Germany,Historical,EV sales,Cars,BEV,2019,Vehicles,63000
315,Germany,Historical,EV sales,Cars,BEV,2020,Vehicles,190000
316,Germany,Historical,EV stock,Cars,BEV,2020,Vehicles,330000
317,Germany,Historical,EV stock,Cars,BEV,2021,Vehicles,690000
318,Germany,Historical,EV sales,Cars,BEV,2021,Vehicles,360000
319,Germany,Historical,EV sales,Cars,BEV,2022,Vehicles,470000
320,Germany,Historical,EV stock,Cars,BEV,2022,Vehicles,1000000
